CVE-2019-13629
CVE-2019-16747
CVE-2019-14431
CVE-2019-10914
CVE-2019-13470
CVE-2018-12439
CVE-2017-1000417
CVE-2017-1000415
CVE-2017-2780
CVE-2017-2782
CVE-2017-2781
CVE-2016-6882
CVE-2016-6883
CVE-2016-6884
CVE-2016-6887
CVE-2016-8671
CVE-2016-6886
CVE-2016-6885
CVE-2016-6892
CVE-2016-6891
CVE-2016-6890
