CVE-2020-25648
CVE-2019-17006
CVE-2019-17007
CVE-2018-18508
CVE-2018-12404
CVE-2018-12384
CVE-2017-5461
CVE-2017-11696
CVE-2017-11695
CVE-2017-11697
CVE-2017-11698
CVE-2017-5462
CVE-2017-7502
CVE-2016-1950
CVE-2016-9574
CVE-2016-8635
CVE-2016-2834
CVE-2016-1979
CVE-2016-1978
CVE-2015-7575
CVE-2015-2721
CVE-2015-7181
CVE-2015-7182
CVE-2015-7183
CVE-2015-4000
CVE-2015-2730
CVE-2014-1491
CVE-2014-1490
CVE-2014-1492
CVE-2014-1569
CVE-2014-1568
CVE-2014-1544
CVE-2013-5606
CVE-2013-5605
CVE-2013-1741
CVE-2013-1620
CVE-2013-1739
CVE-2013-1740
CVE-2013-0791
CVE-2012-0441
CVE-2011-5094
CVE-2009-3555
CVE-2009-2409
CVE-2009-2404
CVE-2007-0009
CVE-2007-0008
CVE-2006-4340
CVE-2006-5462
