CVE-2021-20231
CVE-2021-20232
CVE-2020-11501
CVE-2020-24659
CVE-2020-13777
CVE-2019-3829
CVE-2019-3836
CVE-2018-16868
CVE-2018-10846
CVE-2018-10845
CVE-2018-10844
CVE-2017-5337
CVE-2017-5335
CVE-2017-5334
CVE-2017-5336
CVE-2017-7507
CVE-2017-7869
CVE-2016-4456
CVE-2016-7444
CVE-2015-0294
CVE-2015-8313
CVE-2015-0282
CVE-2015-6251
CVE-2015-3308
CVE-2014-3467
CVE-2014-3468
CVE-2014-3469
CVE-2014-8155
CVE-2014-3465
CVE-2014-3466
CVE-2014-0092
CVE-2014-1959
CVE-2013-4487
CVE-2013-2116
CVE-2013-1619
CVE-2013-4466
CVE-2012-1573
CVE-2012-1569
CVE-2012-1663
CVE-2012-0390
CVE-2011-4128
CVE-2010-0731
CVE-2009-3555
CVE-2009-2730
CVE-2009-2409
CVE-2009-1415
CVE-2009-1417
CVE-2009-1390
CVE-2009-5138
CVE-2009-1416
CVE-2008-4989
CVE-2008-1948
CVE-2008-1949
CVE-2008-1950
CVE-2008-2377
CVE-2006-4790
CVE-2006-7239
CVE-2005-1431
