CVE-2020-28052
CVE-2020-15522
CVE-2020-26939
CVE-2019-17359
CVE-2018-1000613
CVE-2018-1000180
CVE-2018-5382
CVE-2017-13098
CVE-2016-1000340
CVE-2016-1000341
CVE-2016-1000352
CVE-2016-1000342
CVE-2016-1000343
CVE-2016-1000344
CVE-2016-1000345
CVE-2016-1000346
CVE-2016-1000338
CVE-2016-1000339
CVE-2016-2427
CVE-2015-7940
CVE-2013-1624
CVE-2007-6721
