CVE-2021-38597
CVE-2021-37155
CVE-2021-24116
CVE-2021-3336
CVE-2020-11713
CVE-2020-11735
CVE-2020-12457
CVE-2020-36177
CVE-2020-15309
CVE-2020-24613
CVE-2020-24585
CVE-2019-11873
CVE-2019-19962
CVE-2019-14317
CVE-2019-6439
CVE-2019-19963
CVE-2019-19960
CVE-2019-18840
CVE-2019-13628
CVE-2019-16748
CVE-2019-15651
CVE-2018-16870
CVE-2018-12436
CVE-2017-13099
CVE-2017-8855
CVE-2017-6076
CVE-2017-2800
CVE-2017-8854
CVE-2016-7440
CVE-2016-7438
CVE-2016-7439
CVE-2015-7744
CVE-2015-6925
CVE-2014-2896
CVE-2014-2897
CVE-2014-2898
CVE-2014-2904
CVE-2014-2900
CVE-2014-2901
CVE-2014-2902
CVE-2014-2903
CVE-2014-2899
CVE-2013-1623
CVE-2012-1558
