2.6.6, 4/30/2009
2.6.4, 2/6/2009
2.5.0, 7/2/2008
2.4.1, 6/30/2008
2.3.5, 4/14/2008
2.2.4, 5/19/2008
2.1.0, 9/20/2007
2.0.0, 9/4/2007
1.4.0, 5/15/2006
1.2.4, 5/28/2005
1.1.23, 1/18/2005
1.0.16, 7/10/2004
1.0.0, 12/04/2003
