cve_id,in_study_range,version_introduced,version_fixed,cvss,affected_libressl,affected_boringssl,openssl_patch
CVE-2014-3571,Y,0.9.8,1.0.1k,5,Y,Y,https://github.com/openssl/openssl/commit/feba02f3919495e1b960c33ba849e10e77d0785d#diff-e6473b4af1d95ce858f5fd643e1da271439f419dd67581ab93474c8ba01874df; https://github.com/openssl/openssl/commit/248385c606620b29ecc96ca9d3603463f879652b
CVE-2014-3570,Y,0.9.8,1.0.1k,5,Y,Y,https://github.com/openssl/openssl/commit/a7a44ba55cb4f884c6bc9ceac90072dea38e66d0
CVE-2014-3569,N,0.9.8zc,1.0.1k,5,N/A,N/A,https://github.com/openssl/openssl/commit/392fa7a952e97d82eac6958c81ed1e256e6b8ca5
CVE-2014-3568,Y,0.9.8,1.0.1j,4.3,Y,N,https://github.com/openssl/openssl/commit/26a59d9b46574e457870197dffa802871b4c8fc7
CVE-2014-3567,Y,0.9.8g,1.0.1j,7.1,N,Y,https://github.com/openssl/openssl/commit/7fd4ce6a997be5f5c9e744ac527725c2850de203
CVE-2014-3510,Y,0.9.8,1.0.1i,4.3,Y,Y,https://github.com/openssl/openssl/commit/17160033765480453be0a41335fa6b833691c049
CVE-2014-3508,Y,0.9.8,1.0.1i,4.3,Y,Y,https://github.com/openssl/openssl/commit/0042fb5fd1c9d257d713b15a1f45da05cf5c1c87
CVE-2014-3507,Y,0.9.8o,1.0.1i,5,Y,Y,https://github.com/openssl/openssl/commit/d0a4b7d1a2948fce38515b8d862f43e7ba0ebf74
CVE-2014-3506,Y,0.9.8,1.0.1i,5,Y,Y,https://github.com/openssl/openssl/commit/1250f12613b61758675848f6600ebd914ccd7636
CVE-2014-3505,Y,0.9.8m,1.0.1i,5,N,Y,https://github.com/openssl/openssl/commit/bff1ce4e6a1c57c3d0a5f9e4f85ba6385fccfe8b
CVE-2014-0076,N,0.9.8,1.0.1g,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/2198be3483259de374f91e57d247d0fc667aef29
CVE-2014-0224,Y,0.9.8,1.0.1h,5.8,Y,Y,https://github.com/openssl/openssl/commit/bc8923b1ec9c467755cd86f7848c50ee8812e441
CVE-2014-0221,Y,0.9.8,1.0.1h,4.3,Y,Y,https://github.com/openssl/openssl/commit/d3152655d5319ce883c8e3ac4b99f8de4c59d846
CVE-2014-0195,Y,0.9.8o,1.0.1h,6.8,Y,Y,https://github.com/openssl/openssl/commit/1632ef744872edc2aa2a53d487d3e79c965a4ad3
CVE-2014-3470,,0.9.8,1.0.1g,4.3,N,N,https://github.com/openssl/openssl/commit/8011cd56e39a433b1837465259a9bd24a38727fb
